% Model:              first_sketch_v06__sigmasweep_adaptivemesh.mph
% Version:            COMSOL 5.4.0.388
% Date:               Jul 23 2021, 18:52
% Dimension:          2
% Nodes:              325
% Expressions:        12
% Description:        Entity index, r-coordinate, z-coordinate
% Length unit:        mm
% r                       z                        dom @ t=67               r (mm) @ t=67            z (mm) @ t=67            dom @ t=77               r (mm) @ t=77            z (mm) @ t=77            dom @ t=87               r (mm) @ t=87            z (mm) @ t=87            dom @ t=97               r (mm) @ t=97            z (mm) @ t=97
0                         0.5889992168857882       3                        0                        0.5889992168857882       3                        0                        0.6236741523506031       3                        0                        0.6541568572594726       3                        0                        0.6811101089595014
0                         0.6000766307606481       3                        0                        0.6000766307606481       3                        0                        0.6340077970672273       3                        0                        0.6638870704020413       3                        0                        0.6903427367480635
0                         0.6122983268048545       3                        0                        0.6122983268048545       3                        0                        0.6454188295448671       3                        0                        0.6746386135548326       3                        0                        0.7005487855307801
0                         0.6257830538913722       3                        0                        0.6257830538913722       3                        0                        0.6580208731225891       3                        0                        0.6865203849889389       3                        0                        0.7118327748533745
0                         0.6406619640101279       3                        0                        0.6406619640101279       3                        0                        0.671939709684598        3                        0                        0.6996531083226827       3                        0                        0.7243106744266974
0                         0.657079916532991        3                        0                        0.657079916532991        3                        0                        0.6873145922189509       3                        0                        0.714170625255123        3                        0                        0.7381111636685
0                         0.6751969125774714       3                        0                        0.6751969125774714       3                        0                        0.7042996873733297       3                        0                        0.7302213139424056       3                        0                        0.7533770107540888
0                         0.6951896732097869       3                        0                        0.6951896732097869       3                        0                        0.7230656607481586       3                        0                        0.7479696448834626       3                        0                        0.7702665823271433
0                         0.7172533810865919       3                        0                        0.7172533810865919       3                        0                        0.7438014224125812       3                        0                        0.7675978897198599       3                        0                        0.7889554972793525
0                         0.741603590116539        3                        0                        0.741603590116539        3                        0                        0.7667160316894372       3                        0                        0.7893079764192954       3                        0                        0.8096384122858401
0                         0.768478324104723        3                        0                        0.768478324104723        3                        0                        0.792040780271862        3                        0                        0.8133235079185097       3                        0                        0.8325309540998878
0                         0.7981403832170545       3                        0                        0.7981403832170545       3                        0                        0.8200314647413447       3                        0                        0.8398919458710704       3                        0                        0.8578717901564858
0                         0.8308798680694495       3                        0                        0.8308798680694495       3                        0                        0.8509708505647418       3                        0                        0.869286950857286        3                        0                        0.8859248164211417
0                         0.8670169580139936       3                        0                        0.8670169580139936       3                        0                        0.8851713652832786       3                        0                        0.9018109092472137       3                        0                        0.9169814816065321
0                         0.9069049686517712       3                        0                        0.9069049686517712       3                        0                        0.9229780385248          3                        0                        0.9377976391303225       3                        0                        0.9513632066205229
0                         0.9509337335535866       3                        0                        0.9509337335535866       3                        0                        0.9647717390176858       3                        0                        0.9776152973509911       3                        0                        0.9894238769013682
0                         0.99953339903993         3                        0                        0.99953339903993         3                        0                        1.010972863739367        3                        0                        1.0216696390613322       3                        0                        1.0315525183813519
0                         1.0531787452182735       3                        0                        1.0531787452182735       3                        0                        1.0620456615502034       3                        0                        1.0704077432596104       3                        0                        1.0781761195301278
0                         1.112394228084493        3                        0                        1.112394228084493        3                        0                        1.1185035610585863       3                        0                        1.124322491202618        3                        0                        1.1297626246479426
0                         1.1777602723830434       3                        0                        1.1777602723830434       3                        0                        1.1809167591943446       3                        0                        1.1839592721250214       3                        0                        1.1868253980437595
0                         1.25                     3                        0                        1.25                     3                        0                        1.25                     3                        0                        1.25                     3                        0                        1.25
0                         0.5615245026377516       4                        0                        0.5615245026377516       4                        0                        0.5980826054344167       4                        0                        0.6300865130131621       4                        0                        0.6582876185478106
0.008375085584601687      0.5614943117380451       4                        0.008375085584601687     0.5614943117380451       4                        0.008477566150987324     0.5980466270845299       4                        0.008581176364901683     0.6300452467566812       4                        0.008682845560529782     0.6582415450508378
0.016749742101762985      0.5614037219241582       4                        0.016749742101762985     0.5614037219241582       4                        0.016954539349689934     0.5979386759104174       4                        0.01716161446143032      0.6299214328116551       4                        0.017364829681900944     0.6581033099972249
0.1336956743552777        0.5537074271818553       4                        0.1336956743552777       0.5537074271818553       4                        0.13522198359978221      0.5887897307423451       4                        0.1367788455882293       0.6194455311695501       4                        0.13831938023632576      0.6464198730552623
0.14200818615359995       0.5526868775527485       4                        0.14200818615359995      0.5526868775527485       4                        0.14361403915379287      0.5875798367081433       4                        0.14525403583596846      0.6180627279625108       4                        0.14687864508518914      0.6448795628295664
0.15031247067240291       0.5516012532307593       4                        0.15031247067240291      0.5516012532307593       4                        0.15199491801788015      0.5862936285488163       4                        0.1537153970358019       0.6165933618918388       4                        0.15542176804228805      0.6432433174044254
0.15860795839652522       0.550449980551698        4                        0.15860795839652522      0.550449980551698        4                        0.1603638577671813       0.5849305785322079       4                        0.16216198897391218      0.6150369505388605       4                        0.1639476462355204       0.6415106906399036
0.2327571194180283        0.5370251594975233       4                        0.2327571194180283       0.5370251594975233       4                        0.23499911065347842      0.5691061774315768       4                        0.23733751164147265      0.5970231600044549       4                        0.23969619969220843      0.621499259649509
0.24092560348489095       0.535179160526898        4                        0.24092560348489095      0.535179160526898        4                        0.24319823811861538      0.5669401212855938       4                        0.24557536492005624      0.5945653319535972       4                        0.24797861223010134      0.6187749461812927
0.22457238142332214       0.5387980694238088       4                        0.22457238142332214      0.5387980694238088       4                        0.22677846212302472      0.5711886986725316       4                        0.22907331651571147      0.5993879925691324       4                        0.2313830854497082       0.6241218875641925
0.16689397770301392       0.5492324646923812       4                        0.16689397770301392      0.5492324646923812       4                        0.16871998994763243      0.5834901440115652       4                        0.17059276110904967      0.613393002660422        4                        0.17245506137595995      0.6396812332490021
0.17516983975508332       0.5479480793266135       4                        0.17516983975508332      0.5479480793266135       4                        0.1770624256876582       0.5819717553976576       4                        0.17900663894060415      0.6116610046529172       4                        0.1809427668654467       0.6377544779570582
0.216372296898057         0.5404987712768643       4                        0.216372296898057        0.5404987712768643       4                        0.2185374294704689       0.5731884627756564       4                        0.22078413374105726      0.6016605045324981       4                        0.22304083405059988      0.6266434114084763
0.18343485145587085       0.5465961641343263       4                        0.18343485145587085      0.5465961641343263       4                        0.18539026864289498      0.5803748134696295       4                        0.18740253695975667      0.6098404177128665       4                        0.18940950074162013      0.6357299365965126
0.20815775736599848       0.5421281123754192       4                        0.20815775736599848      0.5421281123754192       4                        0.21027713005725063      0.5751062204346234       4                        0.2124712940572193       0.6038413503798061       4                        0.21467098191299627      0.6290643991762385
0.19168831394484825       0.5451760241298258       4                        0.19168831394484825      0.5451760241298258       4                        0.19370261334730635      0.5786986888606889       4                        0.19577935686964326      0.6079306774979257       4                        0.1978539837586902       0.6336071000013755
0.1999295210049665        0.543686928988569        4                        0.1999295210049665       0.543686928988569        4                        0.20199854348372462      0.5769427215599156       4                        0.20413598573675457      0.6059311938205842       4                        0.2062749174160114       0.6313854379518158
0.1253754803858177        0.554663442876097        4                        0.1253754803858177       0.554663442876097        4                        0.12681948621695566      0.5899238093391261       4                        0.12829073545441516      0.6207422287726949       4                        0.12974504108153578      0.6478646726655679
0.11704814421765929       0.5555554304331726       4                        0.11704814421765929      0.5555554304331726       4                        0.11840727389788912      0.5909825394800902       4                        0.11979060347459099      0.6219532496283763       4                        0.12115668021949845      0.6492143608516114
0.10871419914516467       0.5563838614608194       4                        0.10871419914516467      0.5563838614608194       4                        0.10998606416835159      0.5919663571398149       4                        0.11127933531992472      0.6230789947963312       4                        0.11255533420277504      0.6504693118751352
