% Model:              first_sketch_v06__sigmasweep_adaptivemesh_179.9CA.mph
% Version:            COMSOL 5.4.0.388
% Date:               Jul 31 2021, 19:02
% Dimension:          2
% Nodes:              366
% Expressions:        24
% Description:        Entity index, r-coordinate, z-coordinate
% Length unit:        mm
% r                       z                        dom @ t=157              r (mm) @ t=157           z (mm) @ t=157           dom @ t=167              r (mm) @ t=167           z (mm) @ t=167           dom @ t=177              r (mm) @ t=177           z (mm) @ t=177           dom @ t=187              r (mm) @ t=187           z (mm) @ t=187           dom @ t=197              r (mm) @ t=197           z (mm) @ t=197           dom @ t=207              r (mm) @ t=207           z (mm) @ t=207           dom @ t=217              r (mm) @ t=217           z (mm) @ t=217           dom @ t=227              r (mm) @ t=227           z (mm) @ t=227
1.6811398384090344        1.25                     5                        1.6811398384090344       1.25                     5                        1.6811398384090344       1.25                     5                        1.6811398384090344       1.25                     5                        1.6811398384090344       1.25                     5                        1.6811398384090344       1.25                     5                        1.6811398384090344       1.25                     5                        1.6811398384090344       1.25                     5                        1.6811398384090344       1.25
1.778069919204515         1.2500000000000002       5                        1.778069919204515        1.2500000000000002       5                        1.778069919204515        1.2500000000000002       5                        1.778069919204515        1.2500000000000002       5                        1.778069919204515        1.2500000000000002       5                        1.778069919204515        1.2500000000000002       5                        1.778069919204515        1.2500000000000002       5                        1.778069919204515        1.2500000000000002       5                        1.778069919204515        1.2500000000000002
1.875                     1.25                     5                        1.875                    1.25                     5                        1.875                    1.25                     5                        1.875                    1.25                     5                        1.875                    1.25                     5                        1.875                    1.25                     5                        1.875                    1.25                     5                        1.875                    1.25                     5                        1.875                    1.25
0.3020330803671842        8.865395197777238E-6     6                        0.3020330803671842       8.865395197777238E-6     6                        0.28996026849841167      1.3904235020875468E-5    6                        0.2785581308480347       1.5938882206308144E-5    6                        0.2679606463409885       1.737597076402806E-5     6                        0.2581007167501065       1.8462234021782703E-5    6                        0.24890831247517306      1.9282944142897848E-5    6                        0.2403198233561282       1.9883062537156056E-5    6                        0.23227881196760897      2.029327895506771E-5
0.3005079398278953        0                        6                        0.3005079398278953       0                        6                        0.2879608323873153       0                        6                        0.2763779793226445       0                        6                        0.26565305834936953      0                        6                        0.25569559134622094      0                        6                        0.2464274586238132       0                        6                        0.2377808821095082       0                        6                        0.22969672876121222      0
0.3033959138716445        2.7253692771749805E-5    6                        0.3033959138716445       2.7253692771749805E-5    6                        0.2917331298530031       4.358799417132366E-5     6                        0.2805595969911204       5.183549278487779E-5     6                        0.27015064182084575      5.8420726213842804E-5    6                        0.2604609182891357       6.414062125352751E-5     6                        0.25142685867078596      6.923725103046404E-5     6                        0.24298738402310396      7.38112225515035E-5      6                        0.23508722991370182      7.791514103218056E-5
0.30462880236068973       5.2363296849200934E-5    6                        0.30462880236068973      5.2363296849200934E-5    6                        0.2931941002095865       8.024644527635086E-5     6                        0.28216142440397624      9.514241634835296E-5     6                        0.271867085614206        1.0719551121572772E-4    6                        0.26228103864945124      1.1787643805853467E-4    6                        0.2533446178963934       1.2763918206430775E-4    6                        0.24499890565430998      1.366735453166576E-4     6                        0.23718981795878843      1.450779005354575E-4
0.3057476652988416        8.209322653551901E-5     6                        0.3057476652988416       8.209322653551901E-5     6                        0.29446308146663974      1.2099071996694895E-4    6                        0.28353178935027823      1.4242596316018478E-4    6                        0.27331891042865664      1.5977707815941234E-4    6                        0.26380521802903234      1.7519754423694738E-4    6                        0.25493566173306836      1.893622553213174E-4     6                        0.24665294019829972      2.025558025577757E-4     6                        0.23890386174174183      2.1492637567287068E-4
0.3067612863796314        1.1471186117450612E-4    6                        0.3067612863796314       1.1471186117450612E-4    6                        0.29558641772779876      1.639399089893611E-4     6                        0.28473522465324397      1.9170079717495417E-4    6                        0.2745868831765538       2.141533861998647E-4     6                        0.2651302193086033       2.3410934632754052E-4    6                        0.2563130281682366       2.5246326348893057E-4    6                        0.24807930365581013      2.695953337437178E-4     6                        0.24037657418077837      2.857044347369548E-4
0.30767979639814874       1.4892459345525804E-4    6                        0.30767979639814874      1.4892459345525804E-4    6                        0.29659009757951893      2.077637066562522E-4     6                        0.28580491703768285      2.4156344328980924E-4    6                        0.2757100492386609       2.688782343797556E-4     6                        0.26630053569399026      2.931400433907838E-4     6                        0.25752649607878675      3.154567915287466E-4     6                        0.2493330037079284       3.363027973906546E-4     6                        0.24166819265760353      3.5592726084800137E-4
0.30851244490236573       1.8375436645382936E-4    6                        0.30851244490236573      1.8375436645382936E-4    6                        0.29749079756948343      2.514579244473115E-4     6                        0.2867610729397839       2.909502337927066E-4     6                        0.2767114790947827       3.2285090579160433E-4    6                        0.2673418850859446       3.511644811870349E-4     6                        0.25860432355665236      3.772013535117991E-4     6                        0.2504447754651468       4.0152634098962887E-4    6                        0.24281188958180946      4.244374006435048E-4
0.3093162810639133        2.208135072292839E-4     6                        0.3093162810639133       2.208135072292839E-4     6                        0.2983537292608851       2.9718537729537647E-4    6                        0.28767424421066884      3.423505014663068E-4     6                        0.2776659927635042       3.7882708851952064E-4    6                        0.26833287351484586      4.1117695649490457E-4    6                        0.2596286102339773       4.409127001145428E-4     6                        0.2515000043261534       4.686906634250359E-4     6                        0.24389617503830185      4.94858480432978E-4
0.31019464342039604       2.651584691445441E-4     6                        0.31019464342039604      2.651584691445441E-4     6                        0.299290546919341        3.5110096866527947E-4    6                        0.28866277077580543      4.0264352042360346E-4    6                        0.2786974409071132       4.442745530564173E-4     6                        0.2694022333776825       4.811653609121674E-4     6                        0.26073255977879944      5.150554924292976E-4     6                        0.25263606096213886      5.467053984989814E-4     6                        0.24506234369647645      5.765196652145828E-4
0.311157423118915         3.183743903173513E-4     6                        0.311157423118915        3.183743903173513E-4     6                        0.3003112521793317       4.148967585934182E-4     6                        0.28973680492936876      4.7361959107454114E-4    6                        0.2798161826905709       5.210698772642866E-4     6                        0.27056053615945036      5.63082682094826E-4      6                        0.26192694814944906      6.016516189906667E-4     6                        0.2538639155250389       6.37655419748098E-4      6                        0.2463215498797567       6.715639551632896E-4
0.3122126706288381        3.822262281862181E-4     6                        0.3122126706288381       3.822262281862181E-4     6                        0.301423835528607        4.90422661854609E-4      6                        0.2909043211595017       5.572163609850964E-4     6                        0.281030260664521        6.112302023662931E-4     6                        0.27181591634339103      6.590168662131799E-4     6                        0.2632200051074984       7.028526842399876E-4     6                        0.2551918903247821       7.437501738347527E-4     6                        0.24768220403808605      7.822537934180269E-4
