% Model:              first_sketch_v06__sigmasweep_adaptivemesh_179.9CA.mph
% Version:            COMSOL 5.4.0.388
% Date:               Jul 31 2021, 19:02
% Dimension:          2
% Nodes:              399
% Expressions:        27
% Description:        Entity index, r-coordinate, z-coordinate
% Length unit:        mm
% r                       z                        dom @ t=287              r (mm) @ t=287           z (mm) @ t=287           dom @ t=297              r (mm) @ t=297           z (mm) @ t=297           dom @ t=307              r (mm) @ t=307           z (mm) @ t=307           dom @ t=317              r (mm) @ t=317           z (mm) @ t=317           dom @ t=327              r (mm) @ t=327           z (mm) @ t=327           dom @ t=337              r (mm) @ t=337           z (mm) @ t=337           dom @ t=347              r (mm) @ t=347           z (mm) @ t=347           dom @ t=357              r (mm) @ t=357           z (mm) @ t=357           dom @ t=367              r (mm) @ t=367           z (mm) @ t=367
0.01949994524499061       0                        2                        0.01949994524499061      0                        2                        0.019198849103802488     0                        2                        0.018879338895705037     0                        2                        0.01854802801400228      0                        2                        0.01821101650336416      0                        2                        0.01787369811659061      0                        2                        0.017540027123098167     0                        2                        0.01721251969477196      0                        2                        0.01689261996984191      0
0                         0                        2                        0                        0                        2                        0                        0                        2                        0                        0                        2                        0                        0                        2                        0                        0                        2                        0                        0                        2                        0                        0                        2                        0                        0                        2                        0                        0
0.037142278347137486      0                        2                        0.037142278347137486     0                        2                        0.03656556938312405      0                        2                        0.03595334983167882      0                        2                        0.03531859051406582      0                        2                        0.03467318919113535      0                        2                        0.0340275480724821       0                        2                        0.0333892113171231       0                        2                        0.032762932638618084     0                        2                        0.03215141454909156      0
0.05310353109437584       0                        2                        0.05310353109437584      0                        2                        0.052272173178705174     0                        2                        0.051389126376317755     0                        2                        0.05047375586697626      0                        2                        0.04954366837923393      0                        2                        0.04861399714308253      0                        2                        0.047695541648373814     0                        2                        0.04679500865812153      0                        2                        0.045916157153082025     0
0.06754387189364494       0                        2                        0.06754387189364494      0                        2                        0.06647540532663762      0                        2                        0.06533971589684476      0                        2                        0.06416280988601347      0                        2                        0.06296805165204089      0                        2                        0.06177508599039298      0                        2                        0.060597644846430376     0                        2                        0.05944409937928774      0                        2                        0.05831905615153375      0
0.08060800382726001       0                        2                        0.08060800382726001      0                        2                        0.07931732469174753      0                        2                        0.07794436053364456      0                        2                        0.07652216821466178      0                        2                        0.07508000028448003      0                        2                        0.07364181010530158      0                        2                        0.07222393419174254      0                        2                        0.07083611506321323      0                        2                        0.06948359687855579      0
0.09242647971641589       0                        2                        0.09242647971641589      0                        2                        0.09092636774080999      0                        2                        0.08932927318498692      0                        2                        0.08767584900782667      0                        2                        0.08600140875373603      0                        2                        0.08433399802568343      0                        2                        0.08269221461019448      0                        2                        0.08108687605653409      0                        2                        0.07952365754108806      0
0.1031183043952925        0                        2                        0.1031183043952925       0                        2                        0.10141977803210654      0                        2                        0.09960987689302676      0                        2                        0.0977375164319849       0                        2                        0.09584425337596549      0                        2                        0.09396197267416595      0                        2                        0.09211116873948197      0                        2                        0.09030343685039756      0                        2                        0.08854468378506361      0
0.11279046372684448       0                        2                        0.11279046372684448      0                        2                        0.11090305940584656      0                        2                        0.10889017530455648      0                        2                        0.1068097663518125       0                        2                        0.10470979222209785      0                        2                        0.10262566839469564      0                        2                        0.1005793973994694       0                        2                        0.09858305724680588      0                        2                        0.0966425972661512       0
0.12153988297556954       0                        2                        0.12153988297556954      0                        2                        0.11947185266208792      0                        2                        0.11726454314769387      0                        2                        0.11498582696764875      0                        2                        0.11269017196920039      0                        2                        0.11041614530986926      0                        2                        0.10818684714520774      0                        2                        0.10601455010683823      0                        2                        0.10390507022185468      0
